grid_id,lat,lon,elevation,temp,rh,wind_speed
GRID_001,18.2,99.4,226.0,28.5,65.0,5.2
GRID_002,18.2,99.4107,224.0,28.5,65.0,5.2
GRID_003,18.2,99.4214,225.0,28.5,65.0,5.2
GRID_004,18.2,99.4321,230.0,28.5,65.0,5.2
GRID_005,18.2,99.4429,239.0,28.5,65.0,5.2
GRID_006,18.2,99.4536,248.0,28.5,65.0,5.2
GRID_007,18.2,99.4643,257.0,28.5,65.0,5.2
GRID_008,18.2,99.475,254.0,28.5,65.0,5.2
GRID_009,18.2,99.4857,250.0,28.5,65.0,5.2
GRID_010,18.2,99.4964,264.0,28.5,65.0,5.2
GRID_011,18.2,99.5071,267.0,28.5,65.0,5.2
GRID_012,18.2,99.5179,277.0,28.5,65.0,5.2
GRID_013,18.2,99.5286,293.0,28.5,65.0,5.2
GRID_014,18.2,99.5393,379.0,28.5,65.0,5.2
GRID_015,18.2,99.55,388.0,28.5,65.0,5.2
GRID_016,18.2107,99.4,221.0,28.5,65.0,5.2
GRID_017,18.2107,99.4107,226.0,28.5,65.0,5.2
GRID_018,18.2107,99.4214,223.0,28.5,65.0,5.2
GRID_019,18.2107,99.4321,223.0,28.5,65.0,5.2
GRID_020,18.2107,99.4429,240.0,28.5,65.0,5.2
GRID_021,18.2107,99.4536,245.0,28.5,65.0,5.2
GRID_022,18.2107,99.4643,258.0,28.5,65.0,5.2
GRID_023,18.2107,99.475,252.0,28.5,65.0,5.2
GRID_024,18.2107,99.4857,256.0,28.5,65.0,5.2
GRID_025,18.2107,99.4964,259.0,28.5,65.0,5.2
GRID_026,18.2107,99.5071,263.0,28.5,65.0,5.2
GRID_027,18.2107,99.5179,277.0,28.5,65.0,5.2
GRID_028,18.2107,99.5286,292.0,28.5,65.0,5.2
GRID_029,18.2107,99.5393,326.0,28.5,65.0,5.2
GRID_030,18.2107,99.55,541.0,28.5,65.0,5.2
GRID_031,18.2214,99.4,223.0,28.5,65.0,5.2
GRID_032,18.2214,99.4107,223.0,28.5,65.0,5.2
GRID_033,18.2214,99.4214,227.0,28.5,65.0,5.2
GRID_034,18.2214,99.4321,224.0,28.5,65.0,5.2
GRID_035,18.2214,99.4429,229.0,28.5,65.0,5.2
GRID_036,18.2214,99.4536,237.0,28.5,65.0,5.2
GRID_037,18.2214,99.4643,248.0,28.5,65.0,5.2
